Product,Image Link
light bulbs,https://images.thdstatic.com/productImages/370879ed-c1ba-4d66-85d9-0aa0b98ba4c4/svn/feit-electric-colored-light-bulbs-at19-h-led-hdrp-64_1000.jpg
soap,https://upload.wikimedia.org/wikipedia/commons/9/9b/Handmade_soap_cropped_and_simplified.jpg
decalcifier,https://d2xtm1qsylcfqn.cloudfront.net/INTERSHOP/static/WFS/LBS-LBSUS-Site/-/LBS/en_US/decalcifier_system_yellow_code.jpg
brandy,https://10thwhiskey.com/cdn/shop/products/Final_BrandyBottle_Mockup_1500x.png?v=1644260369
specialty vegetables,https://extension.umd.edu/sites/extension.umd.edu/files/styles/optimized/public/2021-01/MREDC_Trending_SpecialtyVegetables.jpg?itok=YuNxF3Lw
bathroom cleaner,https://images.thdstatic.com/productImages/a543f4da-9f3f-4543-ae15-6d62e4bf015a/svn/oxiclean-shower-bathtub-cleaners-5703700053-64_1000.jpg
meat spreads,https://www.boisebistromarket.com/wp-content/uploads/2020/09/HAMSALAD.jpg
cookware,https://www.greenpan.us/cdn/shop/products/CC000126-001-2_85cc4f49-1b29-45a2-970a-f68526f5851a.jpg?v=1683821941&width=1200
specialty fat,https://www.wilmar-international.com/images/default-source/default-album/specialty-fats/homepage/3-blocks-of-chocolatedee77cc6eaea4904bc6a9516ecd79c0f.png?sfvrsn=35e9db7d_2
salad dressing,https://feelgoodfoodie.net/wp-content/uploads/2020/09/how-to-make-vinaigrette-emulsified-6.jpg
ready soups,https://i.ebayimg.com/images/g/RQUAAOSw7qhgQng-/s-l400.jpg
liver loaf,http://fieldmeats.com/wp-content/uploads/sites/5/2017/06/Liver-Loaf-12-oz-8063.png
bags,https://m.media-amazon.com/images/I/71T8EVp49iL._AC_UY1000_.jpg
toilet cleaner,https://m.media-amazon.com/images/I/81TzLur17XL.jpg
artif. sweetener,https://domf5oio6qrcr.cloudfront.net/medialibrary/10926/iStock-1037859810.jpg
tea,"https://cdn.apartmenttherapy.info/image/upload/f_jpg,q_auto:eco,c_fill,g_auto,w_1500,ar_1:1/k%2FPhoto%2FRecipes%2F2023-12-milk-tea%2Fmilk-tea-587"
rubbing alcohol,https://now.optum.com/_next/image?url=https%3A%2F%2Fmedia.post.rvohealth.io%2F2ihZCVbiHmIOsY9s49uLVzzMGB9%2F2024%2F07%2F03%2F2ikQJc3nDfZR2ziuQr0bwYFOUPe.jpeg&w=3840&q=75
pudding powder,"https://m.media-amazon.com/images/I/51W2mGLLAdL._AC_UF894,1000_QL80_.jpg"
frozen fruits,https://www.health.com/thmb/ojAzmymz6F_VOAKlM6F2U0dHT0g=/1500x0/filters:no_upscale():max_bytes(150000):strip_icc()/Health-GettyImages-FrozenFruitVsFreshFruit-9ae38319d2e842998cafe926ef6e1319.jpg
frozen chicken,https://hips.hearstapps.com/hmg-prod/images/frozen-wings-royalty-free-image-1686680053.jpg
cream,https://www.recipetineats.com/tachyon/2022/11/Chantilly-cream_5.jpg?resize=500%2C500
flower soil/fertilizer,https://drearth.com/wp-content/uploads/FlowerGirlSoil_8QT_849-2.jpg
kitchen utensil,https://m.media-amazon.com/images/I/71IOG-fiI1L.jpg
baby cosmetics,https://freshbeautyfix.com/wp-content/uploads/2018/09/freshbeautyfix-baby-skincare-essentials-flatlay.jpg?w=1200
organic products,https://grist.org/wp-content/uploads/2015/11/organic.jpg?quality=75&strip=all&w=1200
