Member_number;Date;Baskets
08/01/2014;2664;citrus fruit,pickled vegetables
08/01/2014;2899;canned beer,frankfurter,soda
08/01/2014;3241;brown bread,ham,whole milk
08/01/2014;3402;newspapers,rolls/buns
08/01/2014;3451;soda,soda
08/01/2014;3534;citrus fruit,processed cheese
08/01/2014;3893;canned beer,salty snack
08/01/2014;3998;Instant food products,ice cream,long life bakery product
08/01/2014;4144;bottled beer,whole milk
08/01/2014;4765;beef,misc. beverages,spread cheese
08/01/2014;4796;curd,soda
08/01/2014;4814;hygiene articles,white bread,whole milk
08/01/2014;4939;beef,whipped/sour cream
09/01/2014;1005;rolls/buns,rolls/buns
09/01/2014;1408;hamburger meat,ice cream
09/01/2014;1552;baby cosmetics,rolls/buns
09/01/2014;1568;candy,domestic eggs
09/01/2014;1816;soda,whole milk
09/01/2014;1878;chicken,liquor
09/01/2014;1975;rolls/buns,soups
09/01/2014;2531;beef,chewing gum
09/01/2014;2642;long life bakery product,yogurt
09/01/2014;2946;onions,white wine
09/01/2014;3117;berries,domestic eggs
09/01/2014;3122;coffee,newspapers,oil
09/01/2014;3299;frozen meals,ham
09/01/2014;3334;liquor (appetizer),root vegetables,white wine
09/01/2014;3487;rolls/buns,seasonal products
09/01/2014;3692;beef,salty snack
09/01/2014;4356;butter milk,soda,tropical fruit
09/01/2014;4427;salt,turkey
09/01/2014;4623;newspapers,white bread
09/01/2014;4852;bottled water,curd
09/01/2014;4915;bottled water,sliced cheese
10/01/2014;1625;bottled water,pot plants,yogurt
10/01/2014;1847;canned beer,rolls/buns
10/01/2014;2676;candy,other vegetables
10/01/2014;2850;pip fruit,root vegetables
10/01/2014;2937;pastry,rolls/buns
10/01/2014;3106;ham,pastry
10/01/2014;3303;dessert,dishes
10/01/2014;3347;coffee,rolls/buns
10/01/2014;3879;curd,curd
10/01/2014;3929;dish cleaner,semi-finished bread
10/01/2014;4651;rolls/buns,rolls/buns,sugar
10/01/2014;4720;baking powder,chocolate
11/01/2014;1241;specialty cheese,whole milk
11/01/2014;1308;napkins,pastry
11/01/2014;1403;cling film/bags,fruit/vegetable juice
11/01/2014;1589;butter,dessert
11/01/2014;1820;butter milk,citrus fruit
11/01/2014;1869;root vegetables,tropical fruit
11/01/2014;2544;instant coffee,processed cheese
11/01/2014;2551;curd,other vegetables
11/01/2014;2606;candles,whole milk
11/01/2014;2630;processed cheese,root vegetables
11/01/2014;2750;sparkling wine,waffles
11/01/2014;2860;bottled water,tropical fruit,yogurt
11/01/2014;2940;citrus fruit,sliced cheese
11/01/2014;3489;frozen dessert,popcorn,whole milk
11/01/2014;3751;pet care,specialty chocolate
11/01/2014;3840;butter,butter
11/01/2014;3855;coffee,white wine
11/01/2014;3920;coffee,whole milk
11/01/2014;4078;ham,hard cheese
11/01/2014;4081;domestic eggs,pip fruit
11/01/2014;4403;butter,other vegetables,other vegetables,pastry
11/01/2014;4467;UHT-milk,white bread
11/01/2014;4557;soda,tropical fruit
11/01/2014;4618;brown bread,other vegetables
11/01/2014;4915;rolls/buns,yogurt
11/01/2014;4916;frozen vegetables,grapes,whole milk
12/01/2014;1045;butter,root vegetables,yogurt,yogurt
12/01/2014;1204;chocolate,softener
12/01/2014;1430;canned beer,soda,soft cheese,waffles
12/01/2014;1504;sausage,white wine
12/01/2014;1606;canned beer,dog food
12/01/2014;1623;soda,soda
12/01/2014;1655;bottled water,rolls/buns
12/01/2014;1702;pip fruit,yogurt,yogurt
12/01/2014;2618;long life bakery product,salty snack
12/01/2014;2619;condensed milk,shopping bags
12/01/2014;2864;dishes,popcorn,whole milk
12/01/2014;2952;hamburger meat,newspapers,sugar,whipped/sour cream
12/01/2014;3430;other vegetables,pot plants,vinegar
12/01/2014;3649;ice cream,pip fruit
12/01/2014;3739;red/blush wine,salty snack
12/01/2014;3832;shopping bags,specialty bar,whole milk
12/01/2014;3924;hamburger meat,pastry
12/01/2014;4165;condensed milk,tropical fruit
12/01/2014;4665;rolls/buns,soda
12/01/2014;4803;root vegetables,white bread
12/01/2014;4854;candy,domestic eggs,sugar,tropical fruit
13/01/2014;1051;bottled beer,hamburger meat
13/01/2014;1443;dessert,hamburger meat
13/01/2014;1483;meat,pip fruit
13/01/2014;1779;citrus fruit,newspapers
13/01/2014;1821;butter milk,coffee
13/01/2014;1956;butter,nut snack
13/01/2014;1961;frozen vegetables,sugar
13/01/2014;2148;canned beer,soda
13/01/2014;2383;pork,yogurt
13/01/2014;2927;hygiene articles,rolls/buns
13/01/2014;3482;oil,root vegetables,soda
13/01/2014;3539;bottled beer,photo/film
13/01/2014;3789;bottled water,rolls/buns
13/01/2014;4002;domestic eggs,flour,seasonal products
13/01/2014;4065;brown bread,pastry
13/01/2014;4067;specialty chocolate,whole milk
13/01/2014;4355;pip fruit,whole milk
13/01/2014;4681;bottled water,bottled water
13/01/2014;4836;cream cheese ,whipped/sour cream
13/01/2014;4860;fruit/vegetable juice,pastry
14/01/2014;1065;long life bakery product,rum,tropical fruit,whole milk
14/01/2014;1311;other vegetables,rolls/buns
14/01/2014;1608;fruit/vegetable juice,ice cream
14/01/2014;1859;chewing gum,soda
14/01/2014;2076;salty snack,softener
14/01/2014;2294;whipped/sour cream,whole milk
14/01/2014;2384;fruit/vegetable juice,rolls/buns,semi-finished bread,tropical fruit
14/01/2014;2463;berries,soda
14/01/2014;2541;soda,specialty bar
14/01/2014;2545;citrus fruit,onions
14/01/2014;2564;long life bakery product,rolls/buns,rolls/buns,root vegetables
14/01/2014;2919;curd,rolls/buns
14/01/2014;3160;red/blush wine,shopping bags
14/01/2014;3246;coffee,frozen vegetables,pot plants
14/01/2014;3291;butter milk,newspapers
14/01/2014;3344;rolls/buns,yogurt
14/01/2014;3361;bottled beer,white wine
14/01/2014;4086;dishes,napkins,pastry,semi-finished bread
14/01/2014;4143;other vegetables,pastry
14/01/2014;4206;rolls/buns,rolls/buns
14/01/2014;4321;soda,yogurt
14/01/2014;4362;domestic eggs,fruit/vegetable juice,rolls/buns,yogurt
14/01/2014;4550;chicken,long life bakery product
14/01/2014;4858;detergent,misc. beverages
15/01/2014;1052;grapes,root vegetables
15/01/2014;1139;soft cheese,tropical fruit
15/01/2014;1169;other vegetables,rolls/buns
15/01/2014;1351;coffee,detergent,rolls/buns,tropical fruit
15/01/2014;1574;flour,whole milk
15/01/2014;1591;bottled beer,frozen meals
15/01/2014;2160;margarine,rolls/buns
15/01/2014;2347;canned beer,sausage
15/01/2014;2355;chocolate,yogurt
15/01/2014;3554;make up remover,white bread
15/01/2014;3782;curd,pip fruit
15/01/2014;4243;napkins,sugar
15/01/2014;4762;pip fruit,whole milk
16/01/2014;1054;fruit/vegetable juice,soda
16/01/2014;1194;bottled water,honey,whole milk
16/01/2014;1476;coffee,yogurt
16/01/2014;1961;tropical fruit,yogurt
16/01/2014;2118;butter milk,frozen vegetables
16/01/2014;2237;flower (seeds),sliced cheese,soups
16/01/2014;2332;rolls/buns,soft cheese
16/01/2014;2520;canned fruit,newspapers
16/01/2014;2716;curd cheese,rolls/buns
16/01/2014;2738;brown bread,pastry,pickled vegetables,sugar
16/01/2014;2851;misc. beverages,rolls/buns
16/01/2014;3221;bottled water,house keeping products,soda
16/01/2014;3222;rolls/buns,sliced cheese
16/01/2014;3566;hygiene articles,other vegetables
16/01/2014;3697;sausage,shopping bags
16/01/2014;3848;frozen vegetables,root vegetables
16/01/2014;4646;shopping bags,whole milk
16/01/2014;4803;pickled vegetables,whole milk
17/01/2014;1013;bottled water,hard cheese,napkins
17/01/2014;1316;rolls/buns,whipped/sour cream
17/01/2014;1360;frankfurter,ketchup
17/01/2014;1613;pastry,tropical fruit
17/01/2014;1698;yogurt,yogurt
17/01/2014;1743;frankfurter,whipped/sour cream
17/01/2014;1798;pastry,pip fruit
17/01/2014;2134;bottled water,soda
17/01/2014;2340;meat,red/blush wine,soda,yogurt
17/01/2014;2431;domestic eggs,processed cheese,soda,whole milk
17/01/2014;2746;brown bread,hamburger meat
17/01/2014;2855;coffee,yogurt
17/01/2014;2905;brown bread,waffles
17/01/2014;2980;bottled beer,cleaner,other vegetables
17/01/2014;3054;semi-finished bread,waffles
17/01/2014;3595;curd,other vegetables
17/01/2014;4182;sliced cheese,whole milk
17/01/2014;4250;pet care,yogurt
17/01/2014;4303;instant coffee,shopping bags,sugar
17/01/2014;4392;other vegetables,pork
18/01/2014;1162;white bread,yogurt
18/01/2014;1275;butter milk,domestic eggs,frozen potato products,shopping bags
18/01/2014;1462;salty snack,sugar
18/01/2014;1682;newspapers,other vegetables
18/01/2014;1797;chocolate marshmallow,other vegetables
18/01/2014;1816;cake bar,jam
18/01/2014;2091;photo/film,vinegar
18/01/2014;2353;cereals,soda,soda
18/01/2014;2390;other vegetables,other vegetables
18/01/2014;2391;citrus fruit,whipped/sour cream
18/01/2014;2413;cat food,whole milk
18/01/2014;2816;chewing gum,citrus fruit,frozen vegetables,margarine
18/01/2014;2850;UHT-milk,organic sausage
18/01/2014;2909;frozen fish,whole milk
18/01/2014;3348;other vegetables,pickled vegetables,soda
18/01/2014;3349;curd,liquor,other vegetables,rolls/buns
18/01/2014;3516;dessert,rolls/buns
18/01/2014;3732;fruit/vegetable juice,ice cream
18/01/2014;4233;chicken,packaged fruit/vegetables,soda
18/01/2014;4505;other vegetables,tropical fruit
18/01/2014;4814;pickled vegetables,yogurt
18/01/2014;4978;grapes,pork
19/01/2014;1003;dental care,frozen meals
19/01/2014;1438;shopping bags,whole milk,yogurt
19/01/2014;1561;cream cheese ,onions
19/01/2014;1569;pastry,rolls/buns
19/01/2014;1755;soda,whole milk
19/01/2014;2137;UHT-milk,hard cheese
19/01/2014;2244;canned fish,finished products
19/01/2014;2322;newspapers,sweet spreads
19/01/2014;2432;pickled vegetables,tropical fruit
19/01/2014;2446;finished products,margarine,whipped/sour cream
19/01/2014;2573;Instant food products,ham
19/01/2014;2615;bottled water,frozen vegetables
19/01/2014;2806;canned beer,whipped/sour cream
19/01/2014;2893;other vegetables,rolls/buns
19/01/2014;3025;cat food,hamburger meat
19/01/2014;3293;nuts/prunes,vinegar
19/01/2014;3396;cream cheese ,whole milk
19/01/2014;3474;curd,rolls/buns
19/01/2014;3512;butter milk,other vegetables
19/01/2014;4292;pot plants,whipped/sour cream
19/01/2014;4299;dental care,other vegetables,tidbits
19/01/2014;4579;candles,whole milk,yogurt
19/01/2014;4924;cereals,pastry
20/01/2014;1036;fruit/vegetable juice,vinegar
20/01/2014;1069;pork,rolls/buns
20/01/2014;1196;pip fruit,shopping bags
20/01/2014;1650;coffee,detergent,pasta,rolls/buns
20/01/2014;2011;fruit/vegetable juice,whipped/sour cream
20/01/2014;2051;meat,rolls/buns
20/01/2014;2106;fruit/vegetable juice,pastry
20/01/2014;2127;fruit/vegetable juice,whole milk
20/01/2014;2325;long life bakery product,whole milk
20/01/2014;2602;cream cheese ,whole milk
20/01/2014;2663;canned beer,kitchen towels,tropical fruit
20/01/2014;3378;mayonnaise,pork
20/01/2014;3410;cream cheese ,shopping bags
20/01/2014;3639;hygiene articles,tropical fruit,whipped/sour cream
20/01/2014;3656;canned beer,dental care
20/01/2014;3695;frozen vegetables,pastry
20/01/2014;3890;newspapers,sliced cheese
20/01/2014;4329;bottled water,candles,pastry
20/01/2014;4406;cream cheese ,pork
20/01/2014;4671;flower (seeds),sausage
20/01/2014;4685;pip fruit,soft cheese
20/01/2014;4698;prosecco,rolls/buns,specialty chocolate,white bread
20/01/2014;4944;organic sausage,salty snack,white bread
20/01/2014;4991;hygiene articles,processed cheese
21/01/2014;1661;pip fruit,tidbits
21/01/2014;2120;napkins,soda
21/01/2014;2246;bottled beer,newspapers,soda
21/01/2014;2258;butter,ice cream,seasonal products
21/01/2014;2261;oil,tropical fruit
21/01/2014;2482;misc. beverages,pip fruit,vinegar
21/01/2014;2573;pastry,soda
21/01/2014;2779;abrasive cleaner,red/blush wine,specialty cheese,whipped/sour cream
21/01/2014;2806;long life bakery product,newspapers
21/01/2014;3010;rolls/buns,root vegetables
21/01/2014;3219;shopping bags,whole milk
21/01/2014;3315;frozen meals,whole milk
21/01/2014;3320;hamburger meat,rolls/buns
21/01/2014;3344;bottled water,canned beer
21/01/2014;3350;baking powder,citrus fruit
21/01/2014;3403;UHT-milk,baking powder,bottled water
21/01/2014;3468;butter,dish cleaner
21/01/2014;3596;curd cheese,frozen vegetables,rolls/buns
21/01/2014;3680;butter milk,hamburger meat
21/01/2014;4216;brown bread,other vegetables
21/01/2014;4364;turkey,yogurt
21/01/2014;4400;rolls/buns,shopping bags
21/01/2014;4490;bottled water,domestic eggs,processed cheese,whole milk
21/01/2014;4504;brown bread,misc. beverages,other vegetables,rolls/buns
22/01/2014;1697;butter,sausage
22/01/2014;1714;mustard,zwieback
22/01/2014;2241;brown bread,butter
22/01/2014;2328;bottled beer,candy,grapes
22/01/2014;3084;citrus fruit,other vegetables
22/01/2014;3104;root vegetables,white wine
22/01/2014;3119;brown bread,salty snack
22/01/2014;3435;bottled water,other vegetables
22/01/2014;3713;root vegetables,tropical fruit
22/01/2014;3764;frozen vegetables,other vegetables
22/01/2014;3950;cat food,white bread
22/01/2014;4036;cat food,whipped/sour cream
22/01/2014;4094;margarine,onions
22/01/2014;4234;detergent,fruit/vegetable juice,oil,other vegetables
22/01/2014;4362;chewing gum,curd,yogurt
22/01/2014;4659;root vegetables,white wine
22/01/2014;4812;rolls/buns,tropical fruit
23/01/2014;1005;margarine,whipped/sour cream
23/01/2014;1065;hamburger meat,soda
23/01/2014;1336;domestic eggs,napkins,rolls/buns
23/01/2014;1445;pip fruit,rolls/buns
23/01/2014;1465;brown bread,ham
23/01/2014;1820;butter milk,root vegetables
23/01/2014;1895;onions,whipped/sour cream
23/01/2014;1908;sauces,shopping bags
23/01/2014;2341;beef,root vegetables
23/01/2014;2688;brown bread,roll products ,sliced cheese
23/01/2014;2727;fish,fruit/vegetable juice
23/01/2014;2801;root vegetables,whole milk
23/01/2014;2808;other vegetables,white bread
23/01/2014;2967;canned beer,flower (seeds)
23/01/2014;3090;chewing gum,other vegetables
23/01/2014;3139;citrus fruit,rum
23/01/2014;3255;bottled beer,semi-finished bread
23/01/2014;3268;citrus fruit,white bread
23/01/2014;3529;fruit/vegetable juice,other vegetables
23/01/2014;3678;curd,specialty bar
23/01/2014;3900;canned vegetables,pasta
23/01/2014;3960;baking powder,frozen potato products
23/01/2014;3967;hard cheese,rolls/buns
23/01/2014;4365;UHT-milk,other vegetables
23/01/2014;4391;canned fish,salty snack
23/01/2014;4464;coffee,rolls/buns
23/01/2014;4660;pork,specialty chocolate
23/01/2014;4679;beef,potato products
23/01/2014;4680;chocolate marshmallow,white wine
23/01/2014;4925;brown bread,sparkling wine,whipped/sour cream
24/01/2014;1009;canned fish,cocoa drinks
24/01/2014;1278;newspapers,root vegetables
24/01/2014;1384;canned beer,domestic eggs
24/01/2014;1566;citrus fruit,salt
24/01/2014;1781;shopping bags,tropical fruit
24/01/2014;1822;dessert,semi-finished bread
24/01/2014;2132;chocolate,waffles,whole milk
24/01/2014;2461;bottled water,pastry
24/01/2014;3289;domestic eggs,other vegetables
24/01/2014;3353;root vegetables,sparkling wine,yogurt
24/01/2014;3369;rolls/buns,specialty bar
24/01/2014;3530;napkins,rolls/buns
24/01/2014;3608;house keeping products,spread cheese
24/01/2014;4066;hamburger meat,sliced cheese
24/01/2014;4479;rolls/buns,soda
24/01/2014;4589;candy,pork,yogurt
24/01/2014;4759;chewing gum,frozen vegetables,root vegetables
24/01/2014;4815;cat food,coffee
24/01/2014;4852;condensed milk,waffles
25/01/2014;1129;baking powder,whole milk
25/01/2014;1169;other vegetables,waffles,white bread,whole milk
25/01/2014;1237;butter milk,hard cheese
25/01/2014;1277;brown bread,butter
25/01/2014;1483;detergent,fruit/vegetable juice,snack products,yogurt
25/01/2014;1699;hygiene articles,liquor (appetizer)
25/01/2014;2148;cream cheese ,soda
25/01/2014;2232;dessert,domestic eggs
25/01/2014;2259;candy,candy,soda
25/01/2014;2607;margarine,misc. beverages
25/01/2014;2718;Instant food products,root vegetables
25/01/2014;3149;napkins,pastry,whipped/sour cream
25/01/2014;3613;root vegetables,shopping bags
25/01/2014;3905;fruit/vegetable juice,soft cheese
25/01/2014;3945;pip fruit,rolls/buns
25/01/2014;4042;domestic eggs,root vegetables
25/01/2014;4110;brown bread,chicken,hygiene articles,yogurt
25/01/2014;4324;chicken,misc. beverages
26/01/2014;1032;newspapers,whipped/sour cream
26/01/2014;1062;sauces,whole milk
26/01/2014;1161;beef,bottled beer,newspapers
26/01/2014;1404;cleaner,whole milk
26/01/2014;1595;other vegetables,yogurt
26/01/2014;1645;hygiene articles,pastry
26/01/2014;1672;sausage,white bread
26/01/2014;1917;curd cheese,sausage
26/01/2014;2178;beef,salt
26/01/2014;2355;canned beer,whipped/sour cream
26/01/2014;2475;citrus fruit,cleaner
26/01/2014;4453;hamburger meat,rolls/buns
26/01/2014;4658;canned beer,canned beer
26/01/2014;4721;fruit/vegetable juice,tropical fruit
27/01/2014;1662;fruit/vegetable juice,rolls/buns,sugar
27/01/2014;2389;butter milk,hamburger meat
27/01/2014;2515;hamburger meat,tropical fruit
27/01/2014;2725;hamburger meat,soda
27/01/2014;2941;berries,rolls/buns
27/01/2014;3009;semi-finished bread,yogurt
27/01/2014;3284;dishes,oil
27/01/2014;3465;condensed milk,long life bakery product,shopping bags
27/01/2014;3486;whipped/sour cream,whole milk
27/01/2014;3552;candy,frozen meals
27/01/2014;3717;frozen meals,pip fruit
27/01/2014;3825;cream cheese ,shopping bags
27/01/2014;3899;soda,whole milk
27/01/2014;4121;bottled water,whole milk
27/01/2014;4279;berries,butter milk
27/01/2014;4314;margarine,whole milk
27/01/2014;4435;flour,root vegetables
27/01/2014;4458;pip fruit,spread cheese
27/01/2014;4485;dessert,pastry
27/01/2014;4494;liquor,root vegetables
27/01/2014;4561;berries,pastry
27/01/2014;4797;soft cheese,whole milk
28/01/2014;1038;margarine,napkins
28/01/2014;1159;citrus fruit,light bulbs
28/01/2014;1344;oil,sliced cheese,soda,syrup
28/01/2014;1454;brown bread,rolls/buns
28/01/2014;1493;root vegetables,root vegetables
28/01/2014;1817;detergent,dishes,pastry
28/01/2014;2065;other vegetables,soda
28/01/2014;2336;organic sausage,specialty chocolate
28/01/2014;2339;bottled water,chocolate
28/01/2014;2430;margarine,pastry,pastry,pastry
28/01/2014;2440;brown bread,domestic eggs
28/01/2014;2466;beef,frozen meals
28/01/2014;2715;napkins,newspapers
28/01/2014;2835;bottled water,domestic eggs
28/01/2014;2873;citrus fruit,rolls/buns,soda
28/01/2014;3057;chicken,pastry,soda
28/01/2014;3447;frozen vegetables,soda,white bread
28/01/2014;3769;fruit/vegetable juice,root vegetables
28/01/2014;3830;candy,cling film/bags,curd,rolls/buns
28/01/2014;4300;hamburger meat,soft cheese
28/01/2014;4317;canned beer,ice cream
28/01/2014;4434;brown bread,chewing gum,coffee,napkins
28/01/2014;4563;baking powder,frozen fish
28/01/2014;4670;mustard,whole milk
28/01/2014;4947;dessert,dishes
28/01/2014;4963;bottled beer,canned fish
29/01/2014;1074;candy,detergent
29/01/2014;1329;canned beer,misc. beverages,whipped/sour cream
29/01/2014;1527;domestic eggs,other vegetables
29/01/2014;1856;newspapers,rolls/buns
29/01/2014;1941;rolls/buns,whole milk
29/01/2014;1970;citrus fruit,whipped/sour cream
29/01/2014;2030;berries,soap
29/01/2014;2302;other vegetables,whole milk
29/01/2014;2540;bottled water,cling film/bags,finished products
29/01/2014;2557;bottled water,rolls/buns
29/01/2014;3045;dental care,other vegetables,pet care
29/01/2014;4140;brown bread,waffles
29/01/2014;4334;bottled beer,whole milk
29/01/2014;4349;hamburger meat,rolls/buns
29/01/2014;4564;shopping bags,whipped/sour cream
29/01/2014;4779;pip fruit,root vegetables
30/01/2014;1146;curd,soft cheese
30/01/2014;1268;brown bread,margarine,other vegetables
30/01/2014;1301;roll products ,whipped/sour cream
30/01/2014;1391;bottled beer,newspapers
30/01/2014;1424;grapes,long life bakery product
30/01/2014;1488;UHT-milk,meat
30/01/2014;1522;margarine,whole milk
30/01/2014;1566;bottled beer,tropical fruit,waffles
30/01/2014;2132;candy,sugar
30/01/2014;2199;coffee,rolls/buns
