Antecedent;Consequent;Support;Confidence
pip fruit;whole milk;99;0.13487738419618528
pip fruit;rolls/buns;74;0.1008174386920981
frozen fish;whole milk;16;0.1568627450980392
dessert;whole milk;36;0.10198300283286119
cream cheese ;whole milk;43;0.14381270903010032
cream cheese ;other vegetables;30;0.10033444816053512
sugar;whole milk;37;0.13962264150943396
rolls/buns;whole milk;209;0.12697448359659783
rolls/buns, other vegetables;whole milk;18;0.11392405063291139
hard cheese;rolls/buns;25;0.11363636363636363
hard cheese;whole milk;28;0.12727272727272726
hard cheese;other vegetables;25;0.11363636363636363
salty snack;other vegetables;33;0.11743772241992882
salty snack;whole milk;29;0.10320284697508897
salty snack;rolls/buns;29;0.10320284697508897
processed cheese;whole milk;22;0.14473684210526316
processed cheese;rolls/buns;22;0.14473684210526316
processed cheese;root vegetables;16;0.10526315789473684
margarine;whole milk;61;0.12655601659751037
cat food;whole milk;25;0.14124293785310735
seasonal products;rolls/buns;15;0.14150943396226415
newspapers;whole milk;84;0.14432989690721648
flour;whole milk;20;0.136986301369863
flour;tropical fruit;16;0.1095890410958904
long life bakery product;whole milk;36;0.13432835820895522
semi-finished bread;other vegetables;15;0.1056338028169014
semi-finished bread;whole milk;25;0.176056338028169
packaged fruit/vegetables;rolls/buns;18;0.14173228346456693
red/blush wine;other vegetables;17;0.10828025477707007
red/blush wine;rolls/buns;20;0.12738853503184713
pork;other vegetables;59;0.1063063063063063
pork;whole milk;75;0.13513513513513514
UHT-milk;other vegetables;32;0.1
UHT-milk;whole milk;38;0.11875
hygiene articles;other vegetables;21;0.1024390243902439
hygiene articles;whole milk;26;0.12682926829268293
ham;whole milk;41;0.16015625
beverages;soda;28;0.11290322580645161
beverages;other vegetables;26;0.10483870967741936
beverages;whole milk;29;0.11693548387096774
grapes;other vegetables;24;0.1111111111111111
grapes;whole milk;29;0.13425925925925927
herbs;yogurt;17;0.10759493670886076
herbs;whole milk;17;0.10759493670886076
pasta;whole milk;16;0.1322314049586777
white wine;whole milk;19;0.10857142857142857
detergent;rolls/buns;15;0.11627906976744186
detergent;yogurt;16;0.12403100775193798
detergent;whole milk;21;0.16279069767441862
chewing gum;yogurt;21;0.11666666666666667
chewing gum;whole milk;25;0.1388888888888889
pot plants;whole milk;15;0.1282051282051282
pot plants;other vegetables;15;0.1282051282051282
