Member_number;Date;Baskets
2910;03/01/2014;processed cheese,sugar
2963;03/01/2014;bottled water,pickled vegetables
2991;03/01/2014;root vegetables,waffles,soda
3197;03/01/2014;sausage,margarine
3227;03/01/2014;cat food,spices,seasonal products
3294;03/01/2014;root vegetables,other vegetables
3313;03/01/2014;bottled beer,hard cheese
3698;03/01/2014;shopping bags,yogurt
3761;03/01/2014;domestic eggs,meat
3831;03/01/2014;whipped/sour cream,soda,bottled water
4249;03/01/2014;shopping bags,canned beer
4280;03/01/2014;soda,specialty chocolate,margarine
4335;03/01/2014;canned beer,whole milk
4382;03/01/2014;fruit/vegetable juice,spices
4440;03/01/2014;butter milk,newspapers
4520;03/01/2014;mustard,brown bread
1165;04/01/2014;house keeping products,beef
1500;04/01/2014;bottled beer,fruit/vegetable juice
1545;04/01/2014;hair spray,brown bread
1616;04/01/2014;prosecco,frankfurter
1883;04/01/2014;frankfurter,whole milk
2092;04/01/2014;canned fish,salty snack
2138;04/01/2014;white bread,seasonal products
2185;04/01/2014;flour,rolls/buns
2428;04/01/2014;soda,whole milk
2477;04/01/2014;root vegetables,soda
2535;04/01/2014;sausage,rolls/buns
2641;04/01/2014;male cosmetics,brown bread
2760;04/01/2014;domestic eggs,rolls/buns,whole milk,long life bakery product
2809;04/01/2014;bottled beer,berries
2925;04/01/2014;oil,male cosmetics
3007;04/01/2014;yogurt,rolls/buns
3077;04/01/2014;domestic eggs,root vegetables
3133;04/01/2014;yogurt,whipped/sour cream
3284;04/01/2014;coffee,canned fish
3382;04/01/2014;yogurt,cat food,bottled beer,pastry
3765;04/01/2014;margarine,bottled beer,whole milk,tropical fruit
3830;04/01/2014;domestic eggs,margarine
4157;04/01/2014;salty snack,frozen meals
4204;04/01/2014;white bread,pastry
4726;04/01/2014;rolls/buns,whole milk
4745;04/01/2014;cat food,soda
4758;04/01/2014;white bread,bottled beer,rolls/buns
4799;04/01/2014;frozen fish,dessert
1004;05/01/2014;cling film/bags,dish cleaner
1147;05/01/2014;soda,whole milk
1473;05/01/2014;hamburger meat,rolls/buns
1544;05/01/2014;shopping bags,other vegetables,semi-finished bread
1897;05/01/2014;cream cheese ,rolls/buns
2040;05/01/2014;packaged fruit/vegetables,rolls/buns
2051;05/01/2014;flour,cream cheese
2470;05/01/2014;white bread,tropical fruit,red/blush wine
2565;05/01/2014;sausage,sliced cheese
2674;05/01/2014;butter,root vegetables
3864;05/01/2014;other vegetables,cooking chocolate
4456;05/01/2014;specialty bar,soda
4567;05/01/2014;whipped/sour cream,red/blush wine
4574;05/01/2014;seasonal products,bottled water,other vegetables
4609;05/01/2014;beef,spices
4628;05/01/2014;napkins,whole milk
4721;05/01/2014;cream cheese ,semi-finished bread
4747;05/01/2014;pastry,tropical fruit
4879;05/01/2014;dessert,fruit/vegetable juice
4943;05/01/2014;other vegetables,finished products
1590;06/01/2014;citrus fruit,newspapers
1863;06/01/2014;bottled beer,bottled water,seasonal products,newspapers
1879;06/01/2014;sugar,whole milk
2093;06/01/2014;napkins,canned vegetables
2259;06/01/2014;processed cheese,roll products
2379;06/01/2014;berries,brown bread
2881;06/01/2014;butter milk,canned vegetables
2949;06/01/2014;shopping bags,other vegetables,pork
3111;06/01/2014;oil,UHT-milk
3963;06/01/2014;domestic eggs,candy
4221;06/01/2014;bottled water,frozen meals
4694;06/01/2014;whipped/sour cream,tropical fruit
4872;06/01/2014;domestic eggs,soda,whole milk,softener
1004;07/01/2014;frozen fish,canned beer
1317;07/01/2014;onions,specialty cheese
1456;07/01/2014;liquor,hygiene articles
1770;07/01/2014;mayonnaise,butter
2035;07/01/2014;rice,jam
3189;07/01/2014;dish cleaner,fruit/vegetable juice
3232;07/01/2014;soda,dessert
3498;07/01/2014;pip fruit,root vegetables
3762;07/01/2014;sliced cheese,newspapers
4082;07/01/2014;yogurt,ham
4251;07/01/2014;ice cream,root vegetables,rolls/buns
4270;07/01/2014;nut snack,whole milk
4306;07/01/2014;cream cheese ,misc. beverages
4594;07/01/2014;other vegetables,tropical fruit
4721;07/01/2014;processed cheese,specialty bar
4870;07/01/2014;soda,bottled water
1291;08/01/2014;onions,sugar,mustard,rolls/buns
1417;08/01/2014;yogurt,frozen meals
1759;08/01/2014;pet care,dog food,newspapers
2399;08/01/2014;chocolate,citrus fruit
2834;08/01/2014;shopping bags,sliced cheese
2933;08/01/2014;soda,seasonal products
3172;08/01/2014;whole milk,newspapers
3322;08/01/2014;pip fruit,soda
3524;08/01/2014;semi-finished bread,margarine,frozen meals
3628;08/01/2014;yogurt,nut snack,chocolate marshmallow,cream cheese ,female sanitary products,curd
3694;08/01/2014;dish cleaner,dessert,whole milk
3722;08/01/2014;syrup,whole milk
3841;08/01/2014;specialty cheese,brown bread
3882;08/01/2014;sweet spreads,hard cheese
3911;08/01/2014;other vegetables,margarine
4130;08/01/2014;root vegetables,newspapers,canned beer,semi-finished bread
4375;08/01/2014;domestic eggs,chicken
4376;08/01/2014;cereals,pork
4933;08/01/2014;root vegetables,whole milk
1284;09/01/2014;soups,salty snack
1374;09/01/2014;cream cheese ,sugar,bottled water
1587;09/01/2014;skin care,hygiene articles
1827;09/01/2014;soda,pastry
1832;09/01/2014;specialty chocolate,spread cheese
2515;09/01/2014;shopping bags,yogurt,misc. beverages
2528;09/01/2014;butter,sausage,soda
2591;09/01/2014;beverages,soda
2666;09/01/2014;UHT-milk,root vegetables
2675;09/01/2014;cling film/bags,UHT-milk
2765;09/01/2014;whipped/sour cream,herbs,grapes
2927;09/01/2014;popcorn,packaged fruit/vegetables
3142;09/01/2014;cream cheese ,pasta
3219;09/01/2014;waffles,tropical fruit
3382;09/01/2014;rolls/buns,tropical fruit,candy
3407;09/01/2014;bottled beer,cream cheese ,bottled water
3475;09/01/2014;whole milk,canned fish
3846;09/01/2014;dental care,canned vegetables
3863;09/01/2014;shopping bags,frozen dessert,turkey
3957;09/01/2014;salty snack,newspapers
4104;09/01/2014;white wine,coffee
4201;09/01/2014;pip fruit,whipped/sour cream
4277;09/01/2014;pip fruit,butter
4342;09/01/2014;ham,whole milk
4432;09/01/2014;butter,root vegetables
4523;09/01/2014;domestic eggs,specialty chocolate
4559;09/01/2014;rolls/buns,frozen vegetables
4938;09/01/2014;dessert,brown bread
1018;10/01/2014;curd,long life bakery product
1442;10/01/2014;candles,specialty bar
1548;10/01/2014;bottled beer,long life bakery product
1664;10/01/2014;misc. beverages,soda,rolls/buns
1694;10/01/2014;dessert,rolls/buns,tropical fruit,long life bakery product
1738;10/01/2014;yogurt,rolls/buns
1910;10/01/2014;sugar,sliced cheese
2138;10/01/2014;whisky,bottled water
2232;10/01/2014;flour,beef
2243;10/01/2014;yogurt,candles,tropical fruit,meat
2453;10/01/2014;napkins,sugar,salty snack
3119;10/01/2014;yogurt,whole milk,meat
3462;10/01/2014;bottled beer,other vegetables,dessert,citrus fruit
3617;10/01/2014;liquor (appetizer),misc. beverages,candy
3687;10/01/2014;other vegetables,rolls/buns
3709;10/01/2014;syrup,pastry
4060;10/01/2014;domestic eggs,other vegetables,napkins
4234;10/01/2014;beverages,berries,napkins,pastry
4300;10/01/2014;yogurt,citrus fruit
4501;10/01/2014;processed cheese,brown bread
4749;10/01/2014;dessert,finished products
4797;10/01/2014;white wine,rolls/buns
4900;10/01/2014;root vegetables,whole milk
1130;11/01/2014;soda,margarine
1148;11/01/2014;soda,other vegetables
1167;11/01/2014;other vegetables,rolls/buns
1169;11/01/2014;soda,detergent
1209;11/01/2014;sausage,dessert
1235;11/01/2014;soda,bottled water
1307;11/01/2014;other vegetables,rolls/buns
1868;11/01/2014;yogurt,whole milk
1889;11/01/2014;soups,whole milk
1981;11/01/2014;whole milk,fruit/vegetable juice
2391;11/01/2014;misc. beverages,whole milk
2428;11/01/2014;domestic eggs,other vegetables,semi-finished bread
2499;11/01/2014;ice cream,beverages,other vegetables,shopping bags
4066;11/01/2014;chewing gum,fruit/vegetable juice
4510;11/01/2014;cream cheese ,whole milk
1369;12/01/2014;flour,sugar
1743;12/01/2014;whipped/sour cream,root vegetables,specialty bar
1813;12/01/2014;brown bread,chocolate,meat
1964;12/01/2014;soda,brown bread
2239;12/01/2014;yogurt,curd
2242;12/01/2014;butter,frozen vegetables
2560;12/01/2014;shopping bags,other vegetables
2668;12/01/2014;other vegetables,whole milk
2766;12/01/2014;pork,long life bakery product
3031;12/01/2014;specialty bar,whole milk
3493;12/01/2014;beef,candy
3837;12/01/2014;hard cheese,bottled water,newspapers
4020;12/01/2014;frozen potato products,whole milk
4426;12/01/2014;pip fruit,berries
4453;12/01/2014;oil,rolls/buns
4614;12/01/2014;sausage,newspapers
4753;12/01/2014;white wine,whole milk
4814;12/01/2014;pip fruit,bottled beer,other vegetables
1051;13/01/2014;hamburger meat,bottled beer
1443;13/01/2014;hamburger meat,dessert
1483;13/01/2014;pip fruit,meat
1779;13/01/2014;citrus fruit,newspapers
1821;13/01/2014;coffee,butter milk
1956;13/01/2014;nut snack,butter
1961;13/01/2014;sugar,frozen vegetables
2148;13/01/2014;soda,canned beer
2383;13/01/2014;yogurt,pork
2927;13/01/2014;rolls/buns,hygiene articles
3482;13/01/2014;oil,root vegetables,soda
3539;13/01/2014;photo/film,bottled beer
3789;13/01/2014;bottled water,rolls/buns
4002;13/01/2014;flour,domestic eggs,seasonal products
4065;13/01/2014;pastry,brown bread
4067;13/01/2014;specialty chocolate,whole milk
4355;13/01/2014;pip fruit,whole milk
4681;13/01/2014;bottled water
4836;13/01/2014;cream cheese ,whipped/sour cream
4860;13/01/2014;fruit/vegetable juice,pastry
1065;14/01/2014;rum,whole milk,tropical fruit,long life bakery product
1311;14/01/2014;other vegetables,rolls/buns
1608;14/01/2014;ice cream,fruit/vegetable juice
1859;14/01/2014;soda,chewing gum
2076;14/01/2014;salty snack,softener
2294;14/01/2014;whipped/sour cream,whole milk
2384;14/01/2014;semi-finished bread,rolls/buns,fruit/vegetable juice,tropical fruit
2463;14/01/2014;soda,berries
2541;14/01/2014;soda,specialty bar
2545;14/01/2014;onions,citrus fruit
2564;14/01/2014;root vegetables,rolls/buns,long life bakery product
2919;14/01/2014;rolls/buns,curd
3160;14/01/2014;shopping bags,red/blush wine
3246;14/01/2014;coffee,frozen vegetables,pot plants
3291;14/01/2014;butter milk,newspapers
3344;14/01/2014;yogurt,rolls/buns
3361;14/01/2014;white wine,bottled beer
4086;14/01/2014;napkins,semi-finished bread,pastry,dishes
4143;14/01/2014;other vegetables,pastry
4206;14/01/2014;rolls/buns
4321;14/01/2014;yogurt,soda
4362;14/01/2014;yogurt,domestic eggs,rolls/buns,fruit/vegetable juice
4550;14/01/2014;chicken,long life bakery product
4858;14/01/2014;misc. beverages,detergent
1052;15/01/2014;root vegetables,grapes
1139;15/01/2014;soft cheese,tropical fruit
1169;15/01/2014;other vegetables,rolls/buns
1351;15/01/2014;coffee,rolls/buns,detergent,tropical fruit
1574;15/01/2014;flour,whole milk
1591;15/01/2014;bottled beer,frozen meals
2160;15/01/2014;rolls/buns,margarine
2347;15/01/2014;sausage,canned beer
2355;15/01/2014;yogurt,chocolate
3554;15/01/2014;make up remover,white bread
3782;15/01/2014;pip fruit,curd
4243;15/01/2014;napkins,sugar
4762;15/01/2014;pip fruit,whole milk
1054;16/01/2014;soda,fruit/vegetable juice
1194;16/01/2014;honey,bottled water,whole milk
1476;16/01/2014;yogurt,coffee
1961;16/01/2014;yogurt,tropical fruit
2118;16/01/2014;butter milk,frozen vegetables
2237;16/01/2014;sliced cheese,soups,flower (seeds)
2332;16/01/2014;soft cheese,rolls/buns
2520;16/01/2014;canned fruit,newspapers
2716;16/01/2014;curd cheese,rolls/buns
2738;16/01/2014;sugar,pickled vegetables,pastry,brown bread
2851;16/01/2014;misc. beverages,rolls/buns
3221;16/01/2014;house keeping products,soda,bottled water
3222;16/01/2014;sliced cheese,rolls/buns
3566;16/01/2014;other vegetables,hygiene articles
3697;16/01/2014;shopping bags,sausage
3848;16/01/2014;root vegetables,frozen vegetables
4646;16/01/2014;shopping bags,whole milk
4803;16/01/2014;pickled vegetables,whole milk
1013;17/01/2014;napkins,bottled water,hard cheese
1316;17/01/2014;whipped/sour cream,rolls/buns
1360;17/01/2014;ketchup,frankfurter
1613;17/01/2014;pastry,tropical fruit
1698;17/01/2014;yogurt
1743;17/01/2014;whipped/sour cream,frankfurter
1798;17/01/2014;pip fruit,pastry
2134;17/01/2014;soda,bottled water
2340;17/01/2014;yogurt,soda,red/blush wine,meat
2431;17/01/2014;processed cheese,domestic eggs,soda,whole milk
2746;17/01/2014;hamburger meat,brown bread
2855;17/01/2014;yogurt,coffee
2905;17/01/2014;waffles,brown bread
2980;17/01/2014;other vegetables,bottled beer,cleaner
3054;17/01/2014;semi-finished bread,waffles
3595;17/01/2014;other vegetables,curd
4182;17/01/2014;sliced cheese,whole milk
4250;17/01/2014;yogurt,pet care
4303;17/01/2014;shopping bags,sugar,instant coffee
4392;17/01/2014;other vegetables,pork
1162;18/01/2014;white bread,yogurt
1275;18/01/2014;shopping bags,domestic eggs,frozen potato products,butter milk
1462;18/01/2014;sugar,salty snack
1682;18/01/2014;other vegetables,newspapers
1797;18/01/2014;chocolate marshmallow,other vegetables
1816;18/01/2014;jam,cake bar
2091;18/01/2014;photo/film,vinegar
2353;18/01/2014;soda,cereals
2390;18/01/2014;other vegetables
2391;18/01/2014;whipped/sour cream,citrus fruit
2413;18/01/2014;cat food,whole milk
2816;18/01/2014;chewing gum,margarine,frozen vegetables,citrus fruit
2850;18/01/2014;UHT-milk,organic sausage
2909;18/01/2014;frozen fish,whole milk
3348;18/01/2014;other vegetables,pickled vegetables,soda
3349;18/01/2014;curd,rolls/buns,liquor,other vegetables
3516;18/01/2014;dessert,rolls/buns
3732;18/01/2014;ice cream,fruit/vegetable juice
4233;18/01/2014;packaged fruit/vegetables,soda,chicken
4505;18/01/2014;other vegetables,tropical fruit
4814;18/01/2014;yogurt,pickled vegetables
4978;18/01/2014;pork,grapes
1003;19/01/2014;dental care,frozen meals
1438;19/01/2014;shopping bags,yogurt,whole milk
1561;19/01/2014;onions,cream cheese
1569;19/01/2014;rolls/buns,pastry
1755;19/01/2014;soda,whole milk
2137;19/01/2014;UHT-milk,hard cheese
2244;19/01/2014;canned fish,finished products
2322;19/01/2014;sweet spreads,newspapers
2432;19/01/2014;pickled vegetables,tropical fruit
2446;19/01/2014;whipped/sour cream,finished products,margarine
2573;19/01/2014;ham,Instant food products
2615;19/01/2014;bottled water,frozen vegetables
2806;19/01/2014;whipped/sour cream,canned beer
2893;19/01/2014;other vegetables,rolls/buns
3025;19/01/2014;hamburger meat,cat food
3293;19/01/2014;vinegar,nuts/prunes
3396;19/01/2014;cream cheese ,whole milk
3474;19/01/2014;rolls/buns,curd
3512;19/01/2014;butter milk,other vegetables
4292;19/01/2014;whipped/sour cream,pot plants
4299;19/01/2014;dental care,other vegetables,tidbits
4579;19/01/2014;yogurt,candles,whole milk
4924;19/01/2014;cereals,pastry
1036;20/01/2014;vinegar,fruit/vegetable juice
1069;20/01/2014;rolls/buns,pork
1196;20/01/2014;shopping bags,pip fruit
1650;20/01/2014;coffee,rolls/buns,detergent,pasta
2011;20/01/2014;whipped/sour cream,fruit/vegetable juice
2051;20/01/2014;rolls/buns,meat
2106;20/01/2014;fruit/vegetable juice,pastry
2127;20/01/2014;whole milk,fruit/vegetable juice
2325;20/01/2014;whole milk,long life bakery product
2602;20/01/2014;cream cheese ,whole milk
2663;20/01/2014;kitchen towels,canned beer,tropical fruit
3378;20/01/2014;mayonnaise,pork
3410;20/01/2014;shopping bags,cream cheese
3639;20/01/2014;whipped/sour cream,tropical fruit,hygiene articles
3656;20/01/2014;dental care,canned beer
3695;20/01/2014;frozen vegetables,pastry
3890;20/01/2014;sliced cheese,newspapers
4329;20/01/2014;candles,bottled water,pastry
4406;20/01/2014;cream cheese ,pork
4671;20/01/2014;sausage,flower (seeds)
4685;20/01/2014;pip fruit,soft cheese
4698;20/01/2014;prosecco,white bread,specialty chocolate,rolls/buns
4944;20/01/2014;white bread,organic sausage,salty snack
4991;20/01/2014;processed cheese,hygiene articles
1661;21/01/2014;pip fruit,tidbits
2120;21/01/2014;napkins,soda
2246;21/01/2014;bottled beer,soda,newspapers
2258;21/01/2014;butter,seasonal products,ice cream
2261;21/01/2014;oil,tropical fruit
2482;21/01/2014;pip fruit,vinegar,misc. beverages
2573;21/01/2014;soda,pastry
2779;21/01/2014;specialty cheese,whipped/sour cream,red/blush wine,abrasive cleaner
2806;21/01/2014;long life bakery product,newspapers
3010;21/01/2014;root vegetables,rolls/buns
3219;21/01/2014;shopping bags,whole milk
3315;21/01/2014;whole milk,frozen meals
3320;21/01/2014;hamburger meat,rolls/buns
3344;21/01/2014;bottled water,canned beer
3350;21/01/2014;baking powder,citrus fruit
3403;21/01/2014;baking powder,UHT-milk,bottled water
3468;21/01/2014;butter,dish cleaner
3596;21/01/2014;curd cheese,rolls/buns,frozen vegetables
3680;21/01/2014;hamburger meat,butter milk
4216;21/01/2014;other vegetables,brown bread
4364;21/01/2014;yogurt,turkey
4400;21/01/2014;shopping bags,rolls/buns
4490;21/01/2014;processed cheese,domestic eggs,bottled water,whole milk
4504;21/01/2014;rolls/buns,other vegetables,misc. beverages,brown bread
1697;22/01/2014;sausage,butter
1714;22/01/2014;mustard,zwieback
2241;22/01/2014;butter,brown bread
2328;22/01/2014;bottled beer,candy,grapes
3084;22/01/2014;other vegetables,citrus fruit
3104;22/01/2014;white wine,root vegetables
3119;22/01/2014;salty snack,brown bread
3435;22/01/2014;other vegetables,bottled water
3713;22/01/2014;root vegetables,tropical fruit
3764;22/01/2014;other vegetables,frozen vegetables
3950;22/01/2014;white bread,cat food
4036;22/01/2014;whipped/sour cream,cat food
4094;22/01/2014;onions,margarine
4234;22/01/2014;detergent,oil,other vegetables,fruit/vegetable juice
4362;22/01/2014;yogurt,chewing gum,curd
4659;22/01/2014;white wine,root vegetables
4812;22/01/2014;rolls/buns,tropical fruit
1005;23/01/2014;whipped/sour cream,margarine
1065;23/01/2014;hamburger meat,soda
1336;23/01/2014;domestic eggs,napkins,rolls/buns
1445;23/01/2014;pip fruit,rolls/buns
1465;23/01/2014;ham,brown bread
1820;23/01/2014;butter milk,root vegetables
1895;23/01/2014;onions,whipped/sour cream
1908;23/01/2014;shopping bags,sauces
2341;23/01/2014;root vegetables,beef
2688;23/01/2014;roll products ,sliced cheese,brown bread
2727;23/01/2014;fish,fruit/vegetable juice
2801;23/01/2014;root vegetables,whole milk
2808;23/01/2014;white bread,other vegetables
2967;23/01/2014;canned beer,flower (seeds)
3090;23/01/2014;other vegetables,chewing gum
3139;23/01/2014;rum,citrus fruit
3255;23/01/2014;bottled beer,semi-finished bread
3268;23/01/2014;white bread,citrus fruit
3529;23/01/2014;other vegetables,fruit/vegetable juice
3678;23/01/2014;specialty bar,curd
3900;23/01/2014;canned vegetables,pasta
3960;23/01/2014;frozen potato products,baking powder
3967;23/01/2014;rolls/buns,hard cheese
4365;23/01/2014;UHT-milk,other vegetables
4391;23/01/2014;salty snack,canned fish
4464;23/01/2014;coffee,rolls/buns
4660;23/01/2014;specialty chocolate,pork
4679;23/01/2014;potato products,beef
4680;23/01/2014;white wine,chocolate marshmallow
4925;23/01/2014;whipped/sour cream,sparkling wine,brown bread
1009;24/01/2014;cocoa drinks,canned fish
1278;24/01/2014;root vegetables,newspapers
1384;24/01/2014;domestic eggs,canned beer
1566;24/01/2014;salt,citrus fruit
1781;24/01/2014;shopping bags,tropical fruit
1822;24/01/2014;semi-finished bread,dessert
2132;24/01/2014;whole milk,waffles,chocolate
2461;24/01/2014;bottled water,pastry
3289;24/01/2014;domestic eggs,other vegetables
3353;24/01/2014;yogurt,root vegetables,sparkling wine
3369;24/01/2014;specialty bar,rolls/buns
3530;24/01/2014;napkins,rolls/buns
3608;24/01/2014;house keeping products,spread cheese
4066;24/01/2014;hamburger meat,sliced cheese
4479;24/01/2014;soda,rolls/buns
4589;24/01/2014;yogurt,pork,candy
4759;24/01/2014;root vegetables,chewing gum,frozen vegetables
4815;24/01/2014;coffee,cat food
4852;24/01/2014;condensed milk,waffles
1129;25/01/2014;baking powder,whole milk
1169;25/01/2014;white bread,other vegetables,whole milk,waffles
1237;25/01/2014;butter milk,hard cheese
1277;25/01/2014;butter,brown bread
1483;25/01/2014;detergent,yogurt,fruit/vegetable juice,snack products
1699;25/01/2014;liquor (appetizer),hygiene articles
2148;25/01/2014;cream cheese ,soda
2232;25/01/2014;domestic eggs,dessert
2259;25/01/2014;soda,candy
2607;25/01/2014;misc. beverages,margarine
2718;25/01/2014;root vegetables,Instant food products
3149;25/01/2014;napkins,whipped/sour cream,pastry
3613;25/01/2014;shopping bags,root vegetables
3905;25/01/2014;soft cheese,fruit/vegetable juice
3945;25/01/2014;pip fruit,rolls/buns
4042;25/01/2014;domestic eggs,root vegetables
4110;25/01/2014;yogurt,chicken,brown bread,hygiene articles
4324;25/01/2014;chicken,misc. beverages
1032;26/01/2014;whipped/sour cream,newspapers
1062;26/01/2014;whole milk,sauces
1161;26/01/2014;beef,bottled beer,newspapers
1404;26/01/2014;whole milk,cleaner
1595;26/01/2014;yogurt,other vegetables
1645;26/01/2014;pastry,hygiene articles
1672;26/01/2014;sausage,white bread
1917;26/01/2014;sausage,curd cheese
2178;26/01/2014;beef,salt
2355;26/01/2014;whipped/sour cream,canned beer
2475;26/01/2014;cleaner,citrus fruit
4453;26/01/2014;hamburger meat,rolls/buns
4658;26/01/2014;canned beer
4721;26/01/2014;fruit/vegetable juice,tropical fruit
1662;27/01/2014;sugar,rolls/buns,fruit/vegetable juice
2389;27/01/2014;hamburger meat,butter milk
2515;27/01/2014;hamburger meat,tropical fruit
2725;27/01/2014;hamburger meat,soda
2941;27/01/2014;berries,rolls/buns
3009;27/01/2014;yogurt,semi-finished bread
3284;27/01/2014;oil,dishes
3465;27/01/2014;shopping bags,condensed milk,long life bakery product
3486;27/01/2014;whipped/sour cream,whole milk
3552;27/01/2014;candy,frozen meals
3717;27/01/2014;pip fruit,frozen meals
3825;27/01/2014;shopping bags,cream cheese
3899;27/01/2014;soda,whole milk
4121;27/01/2014;bottled water,whole milk
4279;27/01/2014;butter milk,berries
4314;27/01/2014;whole milk,margarine
4435;27/01/2014;flour,root vegetables
4458;27/01/2014;pip fruit,spread cheese
4485;27/01/2014;dessert,pastry
4494;27/01/2014;root vegetables,liquor
4561;27/01/2014;berries,pastry
4797;27/01/2014;soft cheese,whole milk
1038;28/01/2014;napkins,margarine
1159;28/01/2014;light bulbs,citrus fruit
1344;28/01/2014;syrup,oil,soda,sliced cheese
1454;28/01/2014;rolls/buns,brown bread
1493;28/01/2014;root vegetables
1817;28/01/2014;detergent,pastry,dishes
2065;28/01/2014;soda,other vegetables
2336;28/01/2014;organic sausage,specialty chocolate
2339;28/01/2014;bottled water,chocolate
2430;28/01/2014;pastry,margarine
2440;28/01/2014;domestic eggs,brown bread
2466;28/01/2014;beef,frozen meals
2715;28/01/2014;napkins,newspapers
2835;28/01/2014;domestic eggs,bottled water
2873;28/01/2014;soda,rolls/buns,citrus fruit
3057;28/01/2014;soda,chicken,pastry
3447;28/01/2014;white bread,soda,frozen vegetables
3769;28/01/2014;root vegetables,fruit/vegetable juice
3830;28/01/2014;cling film/bags,candy,rolls/buns,curd
4300;28/01/2014;hamburger meat,soft cheese
4317;28/01/2014;ice cream,canned beer
4434;28/01/2014;coffee,chewing gum,napkins,brown bread
4563;28/01/2014;frozen fish,baking powder
4670;28/01/2014;mustard,whole milk
4947;28/01/2014;dessert,dishes
4963;28/01/2014;bottled beer,canned fish
1074;29/01/2014;detergent,candy
1329;29/01/2014;misc. beverages,whipped/sour cream,canned beer
1527;29/01/2014;domestic eggs,other vegetables
1856;29/01/2014;rolls/buns,newspapers
1941;29/01/2014;rolls/buns,whole milk
1970;29/01/2014;whipped/sour cream,citrus fruit
2030;29/01/2014;berries,soap
2302;29/01/2014;other vegetables,whole milk
2540;29/01/2014;cling film/bags,bottled water,finished products
2557;29/01/2014;bottled water,rolls/buns
3045;29/01/2014;dental care,other vegetables,pet care
4140;29/01/2014;waffles,brown bread
4334;29/01/2014;bottled beer,whole milk
4349;29/01/2014;hamburger meat,rolls/buns
4564;29/01/2014;shopping bags,whipped/sour cream
4779;29/01/2014;pip fruit,root vegetables
1146;30/01/2014;soft cheese,curd
1268;30/01/2014;other vegetables,brown bread,margarine
1301;30/01/2014;roll products ,whipped/sour cream
1391;30/01/2014;bottled beer,newspapers
1424;30/01/2014;long life bakery product,grapes
1488;30/01/2014;UHT-milk,meat
1522;30/01/2014;whole milk,margarine
1566;30/01/2014;bottled beer,waffles,tropical fruit
2132;30/01/2014;sugar,candy
2199;30/01/2014;coffee,rolls/buns
2254;30/01/2014;napkins,mustard,frozen vegetables,light bulbs
2578;30/01/2014;frozen fish,whole milk
2758;30/01/2014;napkins,dishes
2909;30/01/2014;domestic eggs,butter
3115;30/01/2014;cream cheese ,other vegetables
3221;30/01/2014;salty snack,chocolate
3309;30/01/2014;white bread,domestic eggs
3767;30/01/2014;pasta,meat
3815;30/01/2014;rolls/buns,whole milk,margarine
3964;30/01/2014;root vegetables,pastry
